"Name","OperatingSystem","DistinguishedName"
"CASERV",,"CN=CASERV,OU=Windows,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"NPSSERV",,"CN=NPSSERV,OU=Windows,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"FILESERV",,"CN=FILESERV,OU=Windows,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"CLIENTNODES",,"CN=CLIENTNODES,OU=Windows,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"GIT-SERV",,"CN=GIT-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"DCK-SERV",,"CN=DCK-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"SONAR-SERV",,"CN=SONAR-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"ANS-SERV",,"CN=ANS-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"JNK-SERV",,"CN=JNK-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"SPLK-SERV",,"CN=SPLK-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"PRM-SERV",,"CN=PRM-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"GRF-SERV",,"CN=GRF-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"K8S-SERV",,"CN=K8S-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"DB-SERV",,"CN=DB-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"WEB-SERV",,"CN=WEB-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"MAIL-SERV",,"CN=MAIL-SERV,OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
